code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01170024,0117,01,02,Stockholms län,Österskär V,1743,ordinary,district_mapping,0.8856132075471698,1543.623820754717,01170024,0.3554596747427813,0.08330567540657152,0.0985728509790906,0.04679721208098241,0.050779953534683044,0.20345170925987388,0.015599070693660804,0.1397278460006638,0.006306007301692665
01170025,0117,01,02,Stockholms län,Österskär Ö,1417,ordinary,district_mapping,0.9018759018759018,1277.9581529581528,01170025,0.379035472299721,0.09445994420087685,0.09764846552411319,0.04982064567556795,0.05779194898365883,0.18453567158230372,0.009166998804304504,0.12076524511757672,0.006775607811877242
01200101,0120,01,02,Stockholms län,Värmdö 1 Saltarö,1199,ordinary,district_mapping,0.8536782538399353,1023.5602263540825,01200101,0.23526638378123527,0.07024988213107025,0.053276756247053275,0.05421970768505422,0.0429042904290429,0.2116925978312117,0.041961338991041965,0.2767562470532768,0.013672795851013672
01200102,0120,01,02,Stockholms län,Värmdö 2 Strömma m.fl.,1216,ordinary,district_mapping,0.8146167557932263,990.5739750445632,01200102,0.3140990745781165,0.07566684812193794,0.07457811649428416,0.04409363091997823,0.03756124115405553,0.20195971692977682,0.02885138813282526,0.21175830157866085,0.011431682090364725
01200103,0120,01,02,Stockholms län,Värmdö 3 Ängsvik,1130,ordinary,municipality_residual,0.8375968992248062,946.484496124031,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200104,0120,01,02,Stockholms län,Värmdö 4 Hemmesta,1077,ordinary,municipality_residual,0.8375968992248062,902.0918604651163,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200105,0120,01,02,Stockholms län,Värmdö 5 Vik,1355,ordinary,district_mapping,0.905829596412556,1227.3991031390133,01200105,0.31113851212494864,0.12289354706124127,0.07685984381422113,0.0530209617755857,0.05055487053020962,0.23304562268803947,0.02260583641594739,0.12371557747636662,0.006165228113440197
01200106,0120,01,02,Stockholms län,Värmdö 6 Kopparmora,1217,ordinary,municipality_residual,0.8375968992248062,1019.3554263565891,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200107,0120,01,02,Stockholms län,Värmdö 7 Haghulta Kolvik,1230,ordinary,district_mapping,0.8999179655455292,1106.899097621001,01200107,0.28188833408987746,0.12482977757603268,0.0658193372673627,0.03767589650476623,0.06400363141171131,0.24648206990467544,0.027689514298683614,0.14117113027689515,0.01044030866999546
01200108,0120,01,02,Stockholms län,Värmdö 8 Herrviksnäs m.fl.,1402,ordinary,district_mapping,0.8680758017492711,1217.0422740524782,01200108,0.3107486407360937,0.0807193642827269,0.06398996235884567,0.04893350062735257,0.054788791300711,0.20117105813467168,0.026348808030112924,0.2095357590966123,0.0037641154328732747
01200109,0120,01,02,Stockholms län,Värmdö 9 Torsby,1080,ordinary,municipality_residual,0.8375968992248062,904.6046511627907,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
01200301,0120,01,02,Stockholms län,Djurö 1 Vindö,1091,ordinary,municipality_residual,0.8375968992248062,913.8182170542635,,0.22658031259293526,0.0717377655883422,0.05032547995902587,0.046029805372897595,0.0644020751412616,0.27231272510987015,0.049532432343125266,0.2082741301258963,0.010805273766645739
